relation,5
exist,1
application,1
tree,4
checking,4
case,1
size,3
lower bound,5
finite set,5
computer science,5
defined,3
element,3
data exchange,5
shown,2
data complexity,5
study,2
bounded treewidth,5
language,5
obtain,1
edge,3
word,4
upper bound,5
number,1
schema,5
pair,1
node,3
conjunctive query,5
variable,3
term,3
cid,1
label,3
instance,4
definition,3
start,1
regular path query,5
condition,3
database system,1
technique,2
obtained,1
equivalent,3
show,2
node id,3
bound,5
semantic,5
input,2
query,5
expression,4
problem,2
based,2
satisfy,4
restriction,4
time,5
hold,2
query evaluation,5
work,2
nested regular expression,5
free variable,4
define,4
notion,2
relational database,5
combined complexity,5
fact,3
polynomial time,4
path,4
query answering,5
form,3
set,2
assume,2
consist,2
constraint satisfaction,3
formally,2
graph,5
proof,2
prove,2
database,4
symbol,2
class,2
answer,4
property,3
binary relation,4
de giacomo,1
order,2
paper,1
question,1
complexity,4
data,5
polynomial,4
mapping,5
evaluation,5
tree decomposition,5
regular language,4
query language,5
denoted,2
regular expression,4
denote,2
constraint,3
graph database,5
algorithm,4
finite alphabet,3
tuple,2
