change,4
future work,1
mean,1
function,1
group,1
code,1
research question,1
analysis,1
number,1
message,1
excessive ui update,1
dynamically switched behavior,1
case,1
type,1
instance,1
order,1
problem,1
acm,1
runtime,3
made,1
provide,1
universiteit van amsterdam,1
lecture note,1
work,1
alexandre bergel,1
reference,1
dynamically typed language,4
addition,1
source code,4
object-oriented programming,4
present,1
dynamic language,4
class,2
benchmark,5
variable,1
feature,1
call,1
method,1
implementation,1
support,1
java,1
expanding focu point,1
language,4
system,1
part,1
oscar nierstrasz,1
based,1
source,1
model,1
impact,1
software,3
related,1
tool,4
execution,4
set,1
usa,1
programming language,4
introduce,1
url http,1
smalltalk,3
section,1
technique,1
paper,1
message send,1
show,1
software maintenance,5
defined,1
program,1
total,1
time,1
proceeding,1
package,1
http,1
distribution,1
study,1
performed,1
execution time,4
element,1
list,1
pharo,3
implemented,1
hierarchy,1
point,1
empirical study,5
acm press,1
object,4
algorithms.j,1
found,1
dynamic,1
relevant,1
virtual machine,2
composing collection operation,3
application,1
view,1
developer,1
user,1
identify,1
software engineering,5
copy,1
approach,1
software visualization,5
memory,5
code profiling,5
