p1 union p2,1
union,1
pattern,2
graph,4
sparql graph pattern,5
model,4
domain,3
b4 ringo ringo@acd.,1
fact,1
rdf vocabulary,5
order,1
regular expression,2
operator,2
gutierrez,1
web,5
graph pattern expression,5
data management,5
deﬁned,1
computer science,4
algebra,3
fig,1
predicate,1
instance,1
pair,1
exist,1
paper,1
complexity,3
relational algebra,4
semantic,5
presented,1
rdf triple,5
denote,1
edge,1
rdf,5
w3c recommendation,4
resource description framework,4
data,5
section,1
diﬀerence,1
triple,2
type,2
path,3
part,1
evaluation,4
deﬁne,1
rdf data,4
p1 opt p2,1
variable,1
rdf model,5
speciﬁcation,1
show,1
note,1
rule,3
database,5
deﬁnition,1
literal,2
case,1
data source,4
structure,1
proof,2
based,1
query language,5
approach,1
assume,1
feature,1
data model,5
rdf graph,5
simple,1
expressive power,4
query,4
deﬁned recursively,1
called,1
cid,1
property,1
node,2
system,1
work,1
mapping,2
semantic web,5
formal semantic,4
form,1
notion,1
time,1
set,1
denoted,1
language,3
element,1
sparql,4
sparql query,4
problem,1
expression,1
issue,1
triple pattern,4
graph pattern,4
present,1
study,1
resource,2
blank node,3
represent,1
graph data,5
