sparql query,4
http,3
eds.,1
number,1
knowledge,2
feature,1
denote,1
require,1
triple,3
data source,2
graph,4
query,4
web,4
source,1
label,1
case,1
provide,1
instance,1
method,1
based,1
linked data principle,4
refer,1
person,1
rule,1
propose,1
cid,1
property,1
system,1
type,1
note,1
part,1
linked,2
paper,1
triple pattern,3
rdf data,3
semantic,3
web data,4
value,1
subject,2
order,1
relation,1
data,3
show,2
owl,5
vocabulary,3
class,3
time,1
user,1
work,1
content,1
linked data,5
blank node,4
entity,1
semantic web,5
dataset,3
uri,3
approach,1
sparql,5
reasoning,5
predicate,2
terminological data,2
engine,1
link,2
object,2
authoritative reasoning,2
linked dataset,3
resource,2
rdf graph,4
vol,1
discuss,1
van harmelen,1
found,1
domain,2
term,1
index,2
pattern,1
basic graph pattern,3
springer,1
sparql endpoint,5
sameas,4
document,1
language,1
analysis,1
dbpedia,4
present,1
public sparql endpoint,4
support,1
perform,1
model,1
rdf triple,4
set,1
application,1
identifier,1
variable,1
return,1
w3c recommendation,2
find,1
position,1
rdf,5
answer,1
