participant,1
computer,2
order,1
chile,1
design,2
developed,1
user,1
technology,2
device,2
interaction,2
application,2
social interaction,4
group,3
situation,1
approach,1
requirement,2
task,2
process,2
mobile device,3
collaboration process,4
type,1
proposal,1
support mobile collaboration,5
mobile,2
member,1
mobile worker,3
student,1
proposed,1
development,1
provide,1
improve,1
collaborative learning,3
software,2
make,1
communication,2
problem,1
service,1
number,1
message,1
access,1
component,1
universidad de chile,1
strategy,1
person,1
analysis,1
area,1
mobile groupware application,3
time,1
team,2
awareness,4
user interface,2
activity,1
mobile collaboration,4
required,1
computer science,2
ochoa,1
older adult,3
tablet pc,1
performance,1
family member,2
solution,1
collaborative,2
case,1
role,1
coordination,3
provided,1
mobile computing device,3
part,1
shown,1
system,1
social,2
considered,1
scenario,1
data,1
experience,1
work,1
set,1
proceeding,1
present,1
future work,1
support,1
mechanism,1
obtained,1
collaborative application,2
determine,1
network,3
resource,2
model,2
interact,1
tool,1
context,3
collaboration,3
eds.,1
show,1
fig,1
important,1
typically,1
based,1
study,2
mobile collaborative application,3
Ubiquitous computing,5
internet of things,5
software process,5
social computing,5
teamwork,5
software architecture,5
